ItemCode,ItemName,ds,y,inventario
ACEI-EIFFEL-NORM-0004,ACEITE DE CAJA 85W140  1 LT GL-5 EIFFEL,2025-02-01,0.0,1200.0
ACEI-EIFFEL-NORM-0004,ACEITE DE CAJA 85W140  1 LT GL-5 EIFFEL,2025-03-01,0.0,1200.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2025-04-01,1.0,27.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2025-05-01,6.0,21.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2025-06-01,0.0,21.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2024-07-01,0.0,0.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2024-08-01,0.0,0.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2024-09-01,0.0,0.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2024-10-01,0.0,0.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2024-11-01,0.0,0.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2024-12-01,0.0,0.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2025-01-01,0.0,0.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2025-02-01,0.0,28.0
ACEI-EIFFEL-NORM-0005,ACEITE DE CAJA 85W140 CUBETA 20 LTS GL-5 EIFFEL,2025-03-01,0.0,28.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2025-04-01,7.0,593.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2025-05-01,1.0,592.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2025-06-01,0.0,592.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2024-07-01,0.0,0.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2024-08-01,0.0,0.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2024-09-01,0.0,0.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2024-10-01,0.0,0.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2024-11-01,0.0,0.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2024-12-01,0.0,0.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2025-01-01,0.0,0.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2025-02-01,0.0,600.0
ACEI-EIFFEL-NORM-0006,ACEITE CAJA ATF DEX VI 1 LT EIFFEL,2025-03-01,0.0,600.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2025-04-01,37.0,1163.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2025-05-01,84.0,1079.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2025-06-01,0.0,1079.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2024-07-01,0.0,0.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2024-08-01,0.0,0.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2024-09-01,0.0,0.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2024-10-01,0.0,0.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2024-11-01,0.0,0.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2024-12-01,0.0,0.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2025-01-01,0.0,0.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2025-02-01,0.0,1200.0
ACEI-EIFFEL-NORM-0007,ACEITE DE CAJA  ATF DEX III 1 LT EIFFEL,2025-03-01,0.0,1200.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2025-04-01,19.0,125.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2025-05-01,47.0,78.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2025-06-01,0.0,78.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2024-07-01,0.0,0.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2024-08-01,0.0,0.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2024-09-01,0.0,0.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2024-10-01,0.0,0.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2024-11-01,0.0,0.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2024-12-01,0.0,0.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2025-01-01,0.0,0.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2025-02-01,0.0,144.0
ACEI-EIFFEL-NORM-0008,ACEITE DE CAJA ATF DEX III GARRAFA 5 LTS EIFFEL,2025-03-01,0.0,144.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2025-04-01,0.0,50.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2025-05-01,0.0,50.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2025-06-01,0.0,50.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2024-07-01,0.0,0.0
ACEI-EIFFEL-NORM-0009,ACEITE HIDRAULICO 68 CUBETA EIFFEL (HYD AW 68),2024-08-01,0.0,0.0
