ItemCode,ItemName,No. Fabricante,In Stock,Qty Ordered by,Qty Ordered from,Pedido,Total,Mes_1_venta,Mes_1_inventario,Mes_2_venta,Mes_2_inventario,Mes_3_venta,Mes_3_inventario,Mes_4_venta,Mes_4_inventario,Mes_5_venta,Mes_5_inventario,Mes_6_venta,Mes_6_inventario,Mes_7_venta,Mes_7_inventario,Mes_8_venta,Mes_8_inventario,Mes_9_venta,Mes_9_inventario,Mes_10_venta,Mes_10_inventario,Mes_11_venta,Mes_11_inventario,Mes_12_venta,Mes_12_inventario
ACEI-EIFFEL-SINT-0013,ACEITE 10W30 GARRAFA GASO. F/SINT/PRESTI ULTIMATE EIFFEL,,204.0,109.0,0.0,0.0,95.0,19.0,281.0,9.0,272.0,1.0,277.0,2.0,275.0,0.0,275.0,16.0,259.0,1.0,257.0,1.0,256.0,5.0,250.0,32.0,218.0,14.0,204.0,0.0,204.0
ACEI-EIFFEL-SINT-0014,ACEITE 5W20 LITS F/SINT/OPERA ULTIMATE EIFFEL,,317.0,104.0,1.0,0.0,214.0,24.0,548.0,24.0,524.0,0.0,524.0,17.0,507.0,12.0,495.0,18.0,476.0,17.0,459.0,9.0,450.0,29.0,422.0,20.0,402.0,85.0,317.0,0.0,317.0
ACEI-EIFFEL-SINT-0015,ACEITE 5W40 LTS F/SINT/OPERA ULTIMATE EIFFEL,,586.0,85.0,1.0,0.0,502.0,0.0,624.0,24.0,600.0,0.0,599.0,0.0,599.0,0.0,599.0,0.0,599.0,0.0,599.0,-18.0,617.0,13.0,604.0,8.0,596.0,10.0,586.0,0.0,586.0
ACEI-EIFFEL-SINT-0017,ACEITE SEA 50 1 LT DIESEL EIFFEL,,1185.0,36.0,1300.0,0.0,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,1200.0,12.0,1188.0,3.0,1185.0,0.0,1185.0
ACEI-EIFFEL-SINT-0018,ACEITE SAE 50 CUBETA DIESEL EIFFEL,,55.0,3.0,112.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,56.0,1.0,55.0,0.0,55.0,0.0,55.0
ACEI-EIFFEL-SINT-0019,ACEITE 15W40 BARRIL (210LTS) S/SINT/DIESEL EIFFEL,,6.0,1.0,16.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,7.0,1.0,6.0,0.0,6.0
ACEI-EIFFEL-SINT-0020,ACEITE 20W50 CUBETA DURAMX SILVER EIFFEL,,27.0,5.0,56.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,1.0,27.0,0.0,27.0,0.0,27.0
ACEI-EIFFEL-SINT-0021,ACEITE 20W50 BARRIL (210 LTS) PETROL  SL EIFFEL,,4.0,1.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0
ACEI-EIFFEL-SINT-0022,ACEITE DE MOTO 20W50 4T 1 LT SL PETROL EIFFEL,,1264.0,343.0,1482.0,0.0,2403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,1368.0,43.0,1325.0,61.0,1264.0,0.0,1264.0
ACEI-EIFFEL-SSINT-0003,ACEITE 10W30 LTS GASL.S/SINT/PRESTI SILVER EIFFEL,,434.0,217.0,1.0,0.0,218.0,24.0,588.0,36.0,552.0,0.0,540.0,13.0,527.0,13.0,514.0,0.0,523.0,4.0,519.0,0.0,519.0,12.0,519.0,25.0,494.0,60.0,434.0,0.0,434.0
ACEI-EIFFEL-SSINT-0004,ACEITE 10W30 GARRAFA GASO. S/SINT/PRESTI SILVER EIFFEL API SP,,199.0,78.0,3.0,0.0,124.0,0.0,300.0,18.0,282.0,0.0,280.0,0.0,280.0,2.0,278.0,1.0,277.0,2.0,257.0,-2.0,259.0,2.0,258.0,9.0,249.0,50.0,199.0,0.0,199.0
ACEI-EIFFEL-SSINT-0006,ACEITE 15W40 GARRAFA DIESEL  S/SINT/VISTA TITANIUM EIFFEL,,315.0,127.0,337.0,0.0,525.0,12.0,192.0,66.0,126.0,0.0,119.0,-54.0,173.0,42.0,131.0,24.0,107.0,0.0,107.0,0.0,395.0,12.0,383.0,25.0,358.0,43.0,315.0,0.0,315.0
ACEI-EIFFEL-SSINT-0010,ACEITE 15W40 CUBETA DIESEL S/SINT/VISTA TIANIUM EIFFEL,,247.0,10.0,501.0,0.0,738.0,12.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,250.0,2.0,248.0,1.0,247.0,0.0,247.0
ACEI-EIFFEL-SSINT-0016,ACEITE 10W40 LTS GASO/DIESEL S/SINT/PRESTI ULTIMATE  EIFFEL,,521.0,85.0,1.0,0.0,437.0,4.0,606.0,72.0,534.0,0.0,554.0,0.0,554.0,0.0,554.0,5.0,549.0,0.0,552.0,-10.0,562.0,17.0,545.0,1.0,544.0,23.0,521.0,0.0,521.0
ACEI-EUROL-ATF-0001,ACEITE ATF III MINERAL 5 LTS EUROL,,111.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,4.0,116.0,0.0,116.0,0.0,116.0,2.0,114.0,2.0,112.0,0.0,112.0,1.0,111.0,0.0,111.0
