ItemCode,ds,yhat,q10,q50,q90
ACEI-EIFFEL-SINT-0017,2025-05,3.4243407,-8.199716,3.4385407,13.0642
ACEI-EIFFEL-SINT-0017,2025-06,4.3729634,-1.2448474,3.5563993,10.00188
ACEI-EIFFEL-SINT-0018,2025-04,0.3578192,-0.86122847,0.44066507,1.9416604
ACEI-EIFFEL-SINT-0018,2025-05,0.34102276,-1.0079824,0.2034989,1.5049254
ACEI-EIFFEL-SINT-0018,2025-06,0.29673636,-0.6259166,0.1166935,1.4344302
ACEI-EIFFEL-SINT-0019,2025-04,0.0017355863,-0.06676335,0.00093938614,0.06652835
ACEI-EIFFEL-SINT-0019,2025-05,0.005340563,-0.06039206,0.0040439204,0.06150566
ACEI-EIFFEL-SINT-0019,2025-06,-0.014103949,-0.05246414,-0.0036129209,0.05132813
ACEI-EIFFEL-SINT-0020,2025-04,0.033988055,-0.34827137,0.06837432,0.2749593
ACEI-EIFFEL-SINT-0020,2025-05,0.010713555,-0.32292435,0.01654047,0.27872762
ACEI-EIFFEL-SINT-0020,2025-06,-0.06819973,-0.22175227,-0.039079104,0.15442227
ACEI-EIFFEL-SINT-0021,2025-04,0.0047489475,-0.031845845,0.005174275,0.047110472
ACEI-EIFFEL-SINT-0021,2025-05,0.010067322,-0.043081764,0.0068667578,0.058221854
ACEI-EIFFEL-SINT-0021,2025-06,-0.00719984,-0.052800916,0.0016338036,0.043969247
ACEI-EIFFEL-SINT-0022,2025-04,5.159893,-10.131907,5.5350914,18.146229
ACEI-EIFFEL-SINT-0022,2025-05,4.1464005,-5.3237443,5.1960897,15.417092
ACEI-EIFFEL-SINT-0022,2025-06,3.257129,-4.1115727,3.0100212,10.742911
ACEI-EIFFEL-SSINT-0003,2025-04,6.8422008,-4.7206416,6.2197065,19.89477
ACEI-EIFFEL-SSINT-0003,2025-05,1.8193611,-7.688844,2.5559697,11.413985
ACEI-EIFFEL-SSINT-0003,2025-06,3.2769494,-3.645975,2.8804393,10.731644
ACEI-EIFFEL-SSINT-0004,2025-04,1.1751306,-1.7769238,1.3736188,4.259083
ACEI-EIFFEL-SSINT-0004,2025-05,0.35474154,-0.6820346,0.2513894,1.800174
ACEI-EIFFEL-SSINT-0004,2025-06,0.57196814,-0.885581,0.6353665,1.8749726
ACEI-EIFFEL-SSINT-0006,2025-04,11.141533,-1.2967441,11.129778,23.619867
ACEI-EIFFEL-SSINT-0006,2025-05,13.188606,-4.6047544,13.53223,31.524895
ACEI-EIFFEL-SSINT-0006,2025-06,8.888541,-2.9186149,6.5957413,15.918807
ACEI-EIFFEL-SSINT-0010,2025-04,1.1403261,-0.5014792,1.086465,3.140389
ACEI-EIFFEL-SSINT-0010,2025-05,2.4232852,-0.65452015,1.8859833,5.9193826
ACEI-EIFFEL-SSINT-0010,2025-06,0.86527526,-0.7278224,0.6815096,2.279694
ACEI-EIFFEL-SSINT-0016,2025-04,6.254019,-4.4379826,6.3494444,16.198101
ACEI-EIFFEL-SSINT-0016,2025-05,1.6466856,-3.0949702,2.1241617,9.17941
ACEI-EIFFEL-SSINT-0016,2025-06,4.739277,0.04676851,3.9400783,9.600744
ACEI-EUROL-ATF-0001,2025-04,0.8199123,-0.9986755,0.94522256,2.6770782
ACEI-EUROL-ATF-0001,2025-05,0.41080952,-1.5666621,0.7746459,3.0826194
ACEI-EUROL-ATF-0001,2025-06,1.0941926,-0.8531289,0.5520675,3.8547075
ACEI-EUROL-ATF-0002,2025-04,0.14911254,-0.7901579,0.37954634,1.8475769
ACEI-EUROL-ATF-0002,2025-05,0.10014904,-0.27872264,0.05589515,0.51616883
ACEI-EUROL-ATF-0002,2025-06,0.24848828,-0.5616698,0.2838367,0.97900957
ACEI-EUROL-ATF-0003,2025-04,0.91520524,-2.120282,0.6734178,3.0359833
ACEI-EUROL-ATF-0003,2025-05,0.29446545,-0.8098235,0.11021037,1.5220058
ACEI-EUROL-ATF-0003,2025-06,0.5663341,-0.6376035,0.42417267,1.7086711
ACEI-EUROL-ATF-0005,2025-04,1.1904423,-1.8874989,1.454574,3.9341247
