Codigo,Descripcion,No. Fabricante,In Stock,Pedido,Total,Tipo,Mes_1,Mes_2,Mes_3,Mes_4,Mes_5,Mes_6,Mes_7,Mes_8,Mes_9,Mes_10,Mes_11,Mes_12,Demanda 4 meses,Demanda 5 meses,Demanda 6 meses,Pedido Sugerido 4 meses,Pedido Sugerido 5 meses,Pedido Sugerido 6 meses
ACEI-EIFFEL-SINT-0001,ACEITE 20W50 LTS GASOL.F/SINT/DURA MAX SILVER EIFFEL,0.0,0.0,0.0,,INVENTARIO,586.0,466.0,467.0,463.0,463.0,461.0,424.0,396.0,396.0,305.0,173.0,173.0,6.0038798578,125.9978698578,171.0619798578,,,
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,,124.0,0.0,-27.0,VENTA,-6.0,19.0,12.0,0.0,0.0,7.0,1.0,3.0,14.0,28.0,45.0,0.0,5.6370614,8.615711000000001,8.61620815553,32.6370614,41.2527724,44.23191915553
ACEI-EIFFEL-SINT-0002,ACEITE 20W50 GARRAFA GASO.F/SINT.DURA MAX SILVER EIFFEL,0.0,0.0,0.0,,INVENTARIO,253.0,234.0,225.0,225.0,224.0,217.0,215.0,212.0,197.0,169.0,124.0,124.0,5.6370614,8.615711000000001,8.61620815553,,,
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,,1302.0,0.0,925.0,VENTA,24.0,72.0,24.0,-83.0,84.0,37.0,12.0,-16.0,0.0,66.0,110.0,0.0,196.30407,251.09491000000003,272.332766,0.0,0.0,0.0
ACEI-EIFFEL-SINT-0005,ACEITE 15W40 LTS  DIESEL F/SINT/VISTA TITANIUM EIFFEL,0.0,0.0,0.0,,INVENTARIO,1596.0,1524.0,1524.0,1607.0,1523.0,1474.0,1474.0,1490.0,1478.0,1412.0,1302.0,1302.0,196.30407,251.09491000000003,272.332766,,,
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,,41.0,0.0,-151.0,VENTA,24.0,36.0,24.0,-96.0,24.0,64.0,0.0,16.0,12.0,61.0,225.0,0.0,0.0022031788,0.0027539735,0.0033047682,151.0022031788,151.0049571523,151.0060587417
ACEI-EIFFEL-SINT-0008,ACEIE 20W50 LTS GASO. F/SINT/DURAMAX SUPREME EIFFEL,0.0,0.0,0.0,,INVENTARIO,430.0,394.0,359.0,455.0,427.0,367.0,355.0,339.0,327.0,266.0,41.0,41.0,0.0022031788,0.0027539735,0.0033047682,,,
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,,141.0,0.0,69.0,VENTA,30.0,12.0,0.0,-60.0,6.0,12.0,6.0,13.0,1.0,8.0,66.0,0.0,0.0005324248,0.000665531,0.00150418727,0.0,0.0,0.0
ACEI-EIFFEL-SINT-0009,ACEITE 20W50 GARRAFA GASO. F/SINT/DURAMAX SUPREME EIFFEL,0.0,0.0,0.0,,INVENTARIO,208.0,196.0,193.0,253.0,247.0,235.0,229.0,216.0,215.0,207.0,141.0,141.0,0.0005324248,0.000665531,0.00150418727,,,
ACEI-EIFFEL-SINT-0011,ACEITE 5W30 LTS GASO. F/SINT/ OPERA ULTIMATE EIFFEL,,393.0,0.0,310.0,VENTA,0.0,24.0,0.0,12.0,12.0,12.0,11.0,21.0,24.0,28.0,68.0,0.0,34.4649815,55.92138349999999,55.92181591683,0.0,0.0,0.0
