nombrellanta,fecha,prediccion_6_meses,prediccion_5_meses,prediccion_4_meses
LLA-APLU-SUVAT-0036,2025-12-01,3.99878253365,3.9985796207099997,3.99837670777
LLA-HANK-LTRAT-0004,2025-12-01,0.0,0.0,0.0
LLA-HANK-LTRAT-0006,2025-12-01,0.0,0.0,0.0
LLA-HANK-LTRHR-0006,2025-12-01,0.0,0.0,0.0
LLA-HANK-LTRHR-0007,2025-12-01,0.0,0.0,0.0
LLA-HANK-LTRHR-0017,2025-12-01,0.0,0.0,0.0
LLA-HANK-LTRHR-0019,2025-12-01,0.0006886611600000001,0.0005738843000000001,0.00045910744
LLA-HANK-PCRHP-0009,2025-12-01,0.0,0.0,0.0
LLA-HANK-PCRHR-0014,2025-12-01,0.0,0.0,0.0
LLA-HANK-PCRUHP-0006,2025-12-01,0.0,0.0,0.0
LLA-HANK-PCRUHP-0008,2025-12-01,0.0,0.0,0.0
LLA-HANK-PCRUHP-0010,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVAT-0008,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVAT-0012,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVAT-0016,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVAT-0029,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVAT-0032,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0003,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0004,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0014,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0016,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0018,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0021,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0022,2025-12-01,0.0,0.0,0.0
LLA-HANK-SUVHR-0026,2025-12-01,0.0,0.0,0.0
LLA-HAOH-TBRAT-0001,2025-12-01,0.0,0.0,0.0
LLA-HAOH-TBRAT-0002,2025-12-01,0.0,0.0,0.0
LLA-HAOH-TBRAT-0004,2025-12-01,0.001181826,0.000984855,0.000787884
LLA-HAOH-TBRAT-0005,2025-12-01,0.0010750944,0.000895912,0.0007167296
LLA-HAOH-TBRAT-0006,2025-12-01,0.0,0.0,0.0
LLA-HAOH-TBRAT-0007,2025-12-01,0.0,0.0,0.0
LLA-HAOH-TBRHR-0001,2025-12-01,12.96580458,10.458570980000001,4.901231279999999
LLA-HAOH-TBRHR-0002,2025-12-01,0.00249426876,0.0020785573,0.00166284584
LLA-HAOH-TBRHR-0003,2025-12-01,1.9997523205000003,1.9993801191200002,0.00150301912
LLA-HAOH-TBRHR-0004,2025-12-01,12.014445336200001,11.9801908562,7.9893823562
LLA-HAOH-TBRHR-0005,2025-12-01,0.9444772200000001,0.7870643500000001,0.62965148
LLA-HAOH-TBRHR-0006,2025-12-01,2.0472947223,1.3355494623000004,1.3347606205500002
LLA-KPAT-LTRAT-0002,2025-12-01,0.0,0.0,0.0
LLA-KPAT-TBRAT-0001,2025-12-01,0.0,0.0,0.0
LLA-KPAT-TBRHR-0001,2025-12-01,0.0,0.0,0.0
LLA-KPAT-TBRHR-0002,2025-12-01,0.0,0.0,0.0
LLA-KPAT-TBRHR-0003,2025-12-01,23.998589045,17.999134044999998,11.999679044999999
LLA-LANV-LTRAT-0002,2025-12-01,8.7614830355,8.5710514255,8.3806198155
LLA-LANV-LTRAT-0007,2025-12-01,-0.0004172751000000001,-0.00034772925000000005,-0.0002781834
LLA-LANV-LTRHR-0001,2025-12-01,2.998737068140001,2.998526578920001,2.9983160897000007
LLA-LANV-LTRHR-0002,2025-12-01,14.9983522988,12.9983716988,0.0010536988
LLA-LANV-LTRHR-0003,2025-12-01,28.9998466,25.000133899999998,21.000421199999998
LLA-LANV-LTRHR-0004,2025-12-01,15.997868872000002,7.999502472000001,0.001136072
LLA-LANV-LTRHR-0005,2025-12-01,0.0,0.0,0.0
LLA-LANV-LTRHR-0006,2025-12-01,31.982369666080004,23.957980666080005,15.99501896608
LLA-LANV-LTRHR-0007,2025-12-01,0.0,0.0,0.0
LLA-LANV-LTRHR-0010,2025-12-01,0.0,0.0,0.0
LLA-LANV-LTRHR-0011,2025-12-01,0.0,0.0,0.0
LLA-LANV-LTRHR-0014,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCR-0001,2025-12-01,7.9987273969400015,7.998515323190001,7.998303249440001
LLA-LANV-PCR-0004,2025-12-01,7.999147924520001,4.00137492452,4.00071879339
LLA-LANV-PCR-0006,2025-12-01,1.9981344082799999,1.00006480828,0.9994186220400001
LLA-LANV-PCR-0007,2025-12-01,5.998679558450002,5.998459487330002,5.9982394162100015
LLA-LANV-PCR-0008,2025-12-01,35.99630578764,35.99600499382,35.9957042
LLA-LANV-PCR-0009,2025-12-01,4.99847450766,4.998220276480001,0.00102227648
LLA-LANV-PCR-0010,2025-12-01,1.99974243382,1.9994308529800002,1.9991192721400002
LLA-LANV-PCR-0011,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCR-0012,2025-12-01,5.995851794040001,5.995650595720001,5.995449397400001
LLA-LANV-PCR-0014,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCR-0015,2025-12-01,15.99843519128,15.99817438784,0.00104588784
LLA-LANV-PCR-0016,2025-12-01,13.99882128466,13.99862476778,13.998428250900002
LLA-LANV-PCR-0017,2025-12-01,12.0170739492,12.0165733066,11.9985676596
LLA-LANV-PCRHP-0004,2025-12-01,15.998078714119998,7.9995550141199985,0.00103131412
LLA-LANV-PCRHP-0005,2025-12-01,0.0015167251200000002,0.0012639376000000001,0.00101115008
LLA-LANV-PCRHP-0006,2025-12-01,0.9981758977499998,0.0015266277499999998,0.0012213022
LLA-LANV-PCRHP-0007,2025-12-01,2.03585931455,2.01790117455,1.99994303455
LLA-LANV-PCRHP-0008,2025-12-01,3.99878253365,3.9985796207099997,3.99837670777
LLA-LANV-PCRUHP-0001,2025-12-01,9.0090743,7.010125500000001,6.0071934
LLA-LANV-PCRUHP-0002,2025-12-01,14.3756977,12.3765738,10.201938199999999
LLA-LANV-PCRUHP-0004,2025-12-01,27.995253748219998,27.99517436548,27.99509498274
LLA-LANV-PCRUHP-0005,2025-12-01,10.77644641824,10.776238235000001,9.967743035
LLA-LANV-PCRUHP-0006,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCRUHP-0007,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCRUHP-0008,2025-12-01,9.9995399965,9.99908488465,9.9986297728
LLA-LANV-PCRUHP-0009,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCRUHP-0010,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCRUHP-0011,2025-12-01,7.9989056849599995,7.99872330082,7.99854091668
LLA-LANV-PCRUHP-0012,2025-12-01,0.0,0.0,0.0
LLA-LANV-PCRUHP-0013,2025-12-01,7.998414052,4.0008690520000005,4.000099152400001
LLA-LANV-PCRUHP-0014,2025-12-01,6.000374277799998,0.0017346778,0.00138774224
LLA-LANV-PCRUHP-0015,2025-12-01,0.0078420435,0.0059355391,0.0045105449
LLA-LANV-PCRUHP-0018,2025-12-01,7.99992000155,7.9995627715,7.999205541449999
LLA-LANV-PCRUHP-0019,2025-12-01,0.0006344966999999999,0.00052874725,0.0004229978
LLA-LANV-PCRUHP-0020,2025-12-01,0.00102843864,0.0008570322,0.00068562576
LLA-LANV-PCRUHP-0021,2025-12-01,11.999174883950001,8.001161883950001,7.999457061849999
LLA-LANV-PCRUHP-0022,2025-12-01,5.99910382856,5.99895447124,5.99880511392
LLA-LANV-PCRUHP-0139,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0001,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0002,2025-12-01,1.0517326299999998,0.7815688599999999,0.67041185
LLA-LANV-SUVAT-0003,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0004,2025-12-01,0.18214283650000004,0.18179930500000005,0.16605794900000004
LLA-LANV-SUVAT-0006,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0007,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0008,2025-12-01,7.31520615,7.05190952,6.78861289
LLA-LANV-SUVAT-0011,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0012,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0013,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0014,2025-12-01,15.999013970900002,15.99884962425,15.9986852776
LLA-LANV-SUVAT-0015,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0017,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0018,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0019,2025-12-01,28.4396941378,26.8839807378,19.9995651378
LLA-LANV-SUVAT-0020,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0021,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0022,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0025,2025-12-01,13.9984466722,9.9983384722,4.0007384722
LLA-LANV-SUVAT-0026,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0028,2025-12-01,3.61226314394,3.20883411394,2.8054050839399998
LLA-LANV-SUVAT-0029,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0031,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0034,2025-12-01,10.938445564390001,9.999535024390001,5.000193524390001
LLA-LANV-SUVAT-0035,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0036,2025-12-01,7.997667551679998,3.99941375168,0.00115995168
LLA-LANV-SUVAT-0037,2025-12-01,5.998443853970001,5.998184469400002,0.0010424694
LLA-LANV-SUVAT-0039,2025-12-01,21.895837511800003,21.236816011800002,18.887784811800003
LLA-LANV-SUVAT-0042,2025-12-01,28.0001394936,27.99989119488,27.99964289616
LLA-LANV-SUVAT-0043,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0044,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0045,2025-12-01,0.00135666426,0.00113055355,0.00090444284
LLA-LANV-SUVAT-0046,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVAT-0047,2025-12-01,15.99930457248,15.999188657984,15.999072743488
LLA-LANV-SUVAT-0048,2025-12-01,15.99930457248,15.999188657984,15.999072743488
LLA-LANV-SUVAT-0049,2025-12-01,0.0006344966999999999,0.00052874725,0.0004229978
LLA-LANV-SUVAT-0051,2025-12-01,0.0006344966999999999,0.00052874725,0.0004229978
LLA-LANV-SUVAT-0052,2025-12-01,0.0008196311400000001,0.0006830259500000001,0.00054642076
LLA-LANV-SUVAT-0053,2025-12-01,0.0006344966999999999,0.00052874725,0.0004229978
LLA-LANV-SUVAT-0054,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0002,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0003,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0004,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0005,2025-12-01,0.0008897778000000001,0.0007414815000000001,0.0005931852
LLA-LANV-SUVHR-0006,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0007,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0008,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0009,2025-12-01,9.999070057519999,9.99891508961,9.9987601217
LLA-LANV-SUVHR-0010,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0011,2025-12-01,1.5606485143,1.56002498,1.4965305599999998
LLA-LANV-SUVHR-0012,2025-12-01,3.99878253365,3.9985796207099997,3.99837670777
LLA-LANV-SUVHR-0037,2025-12-01,8.487966092459999,7.35583809246,4.066644692460001
LLA-LANV-SUVHR-0038,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0039,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0040,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0041,2025-12-01,7.99849355896,7.99824249774,3.99997249774
LLA-LANV-SUVHR-0042,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVHR-0043,2025-12-01,0.024698745,0.024028737,0.0192229896
LLA-LANV-SUVHR-0044,2025-12-01,0.0006041309100000001,0.000503442425,0.00040275394
LLA-LANV-SUVHR-0045,2025-12-01,3.99897271783,3.99880151142,3.9986303050100003
LLA-LANV-SUVHT-0001,2025-12-01,5.998900990580001,5.998717829670001,5.998534668760001
LLA-LANV-SUVUHP-0001,2025-12-01,10.0765087909,10.0377134009,9.9989180109
LLA-LANV-SUVUHP-0002,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVUHP-0003,2025-12-01,2.99912294812,1.99900084812,0.00170474812
LLA-LANV-SUVUHP-0004,2025-12-01,0.607853784,0.50654482,0.405235856
LLA-LANV-SUVUHP-0005,2025-12-01,0.99913315545,0.99898868098,0.99884420651
LLA-LANV-SUVUHP-0006,2025-12-01,0.0,0.0,0.0
LLA-LANV-SUVUHP-0007,2025-12-01,1.9997425776499995,1.9993514443999996,0.0015929444
LLA-LANV-SUVUHP-0008,2025-12-01,15.99846776723,15.9982123592,4.0006373592
LLA-LANV-SUVUHP-0009,2025-12-01,7.999071387580001,7.9989166018,7.99876181602
LLA-LANV-TBRAT-0002,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRAT-0004,2025-12-01,0.2524543660000001,-0.002699134,-0.0021593072
LLA-LANV-TBRAT-0005,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRAT-0006,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRAT-0007,2025-12-01,0.0010172164199999999,0.00084768035,0.00067814428
LLA-LANV-TBRHR-0002,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRHR-0003,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRHR-0004,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRHR-0056,2025-12-01,0.00056941014,0.00047450845,0.00037960676
LLA-LANV-TBRHR-0057,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRHR-0060,2025-12-01,0.0,0.0,0.0
LLA-LANV-TBRHR-0061,2025-12-01,0.00087118134,0.00072598445,0.00058078756
LLA-NIPO-TBRHR-0001,2025-12-01,0.0,0.0,0.0
LLA-RACR-LTRAT-0001,2025-12-01,0.0,0.0,0.0
LLA-RACR-LTRAT-0002,2025-12-01,7.998234793500002,0.0014727935000000002,0.0011782348
LLA-RACR-LTRHR-0002,2025-12-01,0.0,0.0,0.0
